unvatrable	ənvætrəbəl
redeptable	ridɛptəbəl
covornable	kəvɔrnəbəl
retaleable	rɪtələbəl
previnable	prɛvajnəbəl
inbeadable	ɪnbɛdəbəl
actignable	æktɪgnəbəl
impalvable	ɪmpalvəbəl
anvastable	ænvəstəbəl
puneadable	punidəbəl
tegornable	tgɔrnəbəl
anilicable	ænilɪkəbəl
chalinable	ʧejlajnəbəl
condumable	kənduməbəl
utililable	jutɪlajləbəl
cresucable	krɛsjukəbəl
rempadable	rɛmpejdəbəl
imalatable	ajmælətəbəl
parendable	pɛrɛndəbəl
enocutable	ɪnəkjutəbəl
unvediable	ənvidiəbəl
swimitable	swɪmətəbəl
inveicable	ɪnvkəbəl
expernable	ɪkspɚnəbəl
previtable	prɛvajtəbəl
infoustable	ɪnfəstəbəl
preneckable	prənɛkəbəl
mecoushable	məkəʃəbəl
undeperable	ʌndɪpɚəbəl
unaclerable	ʌnəklɚəbəl
prequakable	prɛkwejkəbəl
compechable	kəmpɛʧəbəl
intoundable	ɪntawndəbəl
fusuperable	fusupɚəbəl
expeaceable	ɪkspisəbəl
comfolvable	kʌmfalvəbəl
unutintable	ənətɪntəbəl
peplaicable	pɛplɪkəbəl
fispoceable	fɪspəsəbəl
inedifiable	ɪnɛdəfajəbəl
irediocable	ajrejdiowkəbəl
sempoivable	sɛmpojvəbəl
unalintable	ənaləntəbəl
corgervable	kɔrgɚvəbəl
contaitable	kənttəbəl
fupeactable	fjupktəbəl
intountable	ɪntawntəbəl
expelocable	ɪksplowkəbəl
praleckable	pralɛkəbəl
pustameable	pʌstæməbəl
lureish	lrɪʃ
wawkish	wakɪʃ
direish	dajrɪʃ
lurmish	lɚmɪʃ
fawkish	fɔkɪʃ
goguish	gowgɪʃ
cunkish	kʌnkɪʃ
badyish	bædiɪʃ
carmish	karmɪʃ
wabyish	wabiɪʃ
gireish	gajrɪʃ
redyish	rɛdiɪʃ
reckish	rɛkɪʃ
radyish	rædiɪʃ
breyish	brejɪʃ
doutish	dtɪʃ
sonkish	sankɪʃ
peftish	pɛftɪʃ
knarish	nɛrɪʃ
moguish	mowgɪʃ
waguish	wægɪʃ
fadyish	fædiɪʃ
beavish	bivɪʃ
slarish	slɛrɪʃ
wainish	wejnɪʃ
slundish	slʌndɪʃ
friquish	frajkwɪʃ
shigeish	ʃɪgajʃ
slungish	slʌnʤɪʃ
prienish	prajnɪʃ
turgeish	tɚgajʃ
dwaplish	dwæplɪʃ
devevish	dɪvəvɪʃ
tivilish	tɪvəəlɪʃ
fevewish	fɛvɪʃ
skierish	skajɚɪʃ
fevetish	fɛvtɪʃ
fevilish	fɛvəlɪʃ
clurlish	klɚlɪʃ
frietish	fritɪʃ
higetish	hajʤtɪʃ
woungish	wunʤɪʃ
preanish	prinɪʃ
clangish	klængɪʃ
purerish	pjʊrɚɪʃ
ghumpish	gʌmpɪʃ
slownish	slownɪʃ
snoulish	snulɪʃ
laretish	lrtɪʃ
rourfish	rɔrfɪʃ
recentive	rɪsɛntɪv
sejensive	sɛjɛnsɪv
decertive	dejsɚtɪv
prititive	prɪtətɪv
pedulsive	pɪdʌlsɪv
deflosive	dɪfləsɪv
nombasive	nambejzɪv
impuctive	ɪmpʌktɪv
extuctive	ɪkstʌktɪv
serposive	sɚpowzɪv
cormasive	kɔrmejsɪv
depulsive	dɛpʌlsɪv
dignitive	dɪgnətɪv
dermasive	dɚmejsɪv
tendusive	tɛndusɪv
tecensive	tejsɛnsɪv
cogective	kowʤɛktɪv
rejeptive	rɪʤɛptɪv
seceptive	sɛsɛptɪv
nogensive	nowgɛnsɪv
atecusive	ejtɛkəsɪv
obsensive	əbsɛnsɪv
imimative	ɪməmətɪv
pumbative	pəmbætɪv
nutensive	nutɛnsɪv
indetative	ɪndɪtətɪv
submictive	səbmɪktɪv
pedititive	pɛdɪtitɪv
defrertive	dɛfrɚtɪv
nonvuptive	nanvʌptɪv
recumotive	rɪkumowtɪv
dimusitive	dɪmuzətɪv
vederative	vɛdɚətɪv
dejovative	dəʤəvətɪv
conovative	kanavətɪv
pepulative	pɪpjəlejtɪv
prediasive	prɛdiejsɪv
sumurative	sumɚətɪv
sumpertive	sʌmpɚtɪv
suprective	suprɛktɪv
